"","Healthy_1W","Healthy_3W","Healthy_5W","Diabetic_1W","Diabetic_3W","Diabetic_5W","Trained_diabetic_1W","Trained_diabetic_3W","Trained_diabetic_5W","Trained_1W","Trained_3W","Trained_5W"
"100069_at",6.17259368666311,6.15188298550014,6.12749050448434,6.02543848368026,5.8964122321779,6.05557222488006,5.93961679866382,6.16142626498846,6.20352741441991,6.22153930312644,6.10471655173715,5.91529906697794
"100071_at",7.13460610440165,6.88335023611878,6.6227809111405,6.94649637701021,6.95948673054332,6.53019098176055,7.05645240460225,6.92326144064616,6.62374769920859,6.97488670045958,7.055226190109,6.69893683998432
"100072_at",7.86695754217388,8.09056896655342,8.1259991138964,8.1640642331517,8.01832861935516,8.1449593575161,8.00459127874417,8.0759189379212,8.25095154802382,8.04298411560135,8.00833382801965,8.06912488006123
"100073_at",6.56497389468536,6.89442434040107,7.05545613227185,6.59102198157787,6.82725929865664,7.14900612709137,6.74818185827658,6.90145259174123,7.07231596550898,6.67614572043565,7.05612656402958,7.04494093457166
"100074_at",8.02958460036577,8.16880072420362,8.07516881677022,8.20213373573408,8.01148444937262,7.91548869728968,8.06053958955904,7.88779706382531,7.72548325827513,8.21219856367606,8.08950690432668,8.11791056142691
"100078_at",6.97411898323832,6.83718058629462,6.84520303198221,6.83040396195794,6.94283864524683,6.80423583453617,6.98828487591951,6.91130384395387,6.88874461626507,6.8255671115339,6.8659262305391,6.86367018695567
"100079_at",11.0498696625397,11.403827980573,11.7401751022405,10.8619902178858,10.9034111926177,11.5551820359618,10.9629914554684,11.0806178850416,11.4567621104363,11.3428375442809,11.3322992961363,11.6264192265584
"100080_at",6.5600511899011,6.40598540961141,6.28872296179137,6.47209821470437,6.33688938112413,6.08488116932067,6.4596549760546,6.44665564356585,6.1345331149339,6.33496353534823,6.37288300158789,6.38223640629385
"100081_at",6.72824227174004,7.2313582180506,7.14204191433198,6.95438104843835,6.85259539096015,6.97803141689464,6.82130844856873,6.98184098822447,6.97480633275901,6.99468777960454,7.15306961265802,7.0485290640306
"100082_at",7.95319248333141,7.83625057944163,7.63996877382253,7.74223651136586,7.76503964157655,7.67749912832702,7.81691154602902,7.77078121048917,7.62292761562611,7.94794596619127,7.99613846425053,7.72681655777611
"100084_at",4.956729388647,4.84459957467091,4.76261399105944,4.78212470570001,4.75546845091201,4.69907532177844,4.75212291072209,4.7816072249434,4.69209985112271,4.84459429386728,4.95081751235748,4.87684494483489
"100085_at",6.28255631463082,5.99991409346452,5.9815177885661,6.13107587927744,6.16258917380248,5.99773287717001,6.15856111531241,6.22090051299176,5.97894009155526,6.12581919591448,6.11722083254069,6.16166534383308
"100086_at",7.86125067493642,7.88340145473409,7.7899503671848,8.01960414381869,7.91651395475717,7.86972280140752,7.98584457945014,7.8776562535466,7.895706053545,7.99078535964081,7.83559066597523,7.88521943310875
"100088_at",9.4057850863045,9.70924427111529,10.5625384173168,9.49423037195337,9.83904123603962,10.7596638691952,9.26907016968554,9.87581624019436,10.5334881403557,9.51344361211857,9.4453266892815,10.3615144277838
"100089_at",6.74775546175166,6.70569444571903,7.12915395895921,5.60278989701438,6.18501419613919,6.59511587130984,6.09176948699015,6.16078051545572,6.50776616775797,6.61868763795098,6.59002859775088,6.80339450565686
"100091_at",9.35268396465528,9.51487834251082,9.20201130589998,9.66883208759843,9.6440512815906,9.30903042696621,9.50176193918729,9.58809559358306,9.40323690208863,9.49520498248758,9.43290749833531,9.25472685528998
"100093_at",8.95636394989579,9.13398036105784,9.16380576619598,9.30458392235746,9.07074113217511,8.9007789395365,9.07621999636399,9.17209064119484,9.0261597117208,9.0257143666024,8.98869363916475,9.12809367263612
"100094_at",8.01349739987876,8.41023373793585,8.50725543893718,9.21655670020451,9.10135369892108,8.74343102004973,8.64770090158555,8.82695304172797,8.84436795250383,8.51636950353305,8.10841975284352,8.30135411898478
"100095_at",8.34041865883218,8.21667865537062,7.98487342979238,8.13382276290489,8.25656749086188,7.89847777453988,8.36709347022036,8.14544038389189,7.96637447379404,8.17762283352177,8.2907120319174,8.05252306185128
"100099_at",10.0463268300914,10.1243913278504,10.1948349089581,10.1549912382402,10.0682258608554,9.81599951889407,10.1882612530222,10.108925351519,10.0432764764217,10.1911757134496,10.1370723482379,10.222748106118
"100100_at",4.09082308008159,4.03882408579342,4.03174159612513,4.13243961091244,4.14230310240487,3.94390616452451,4.00984326254244,4.05515633798377,3.97167211936568,4.00655262568686,4.14343031620922,4.05856230225247
"100101_at",7.5067626348374,7.58162694127881,7.49260419039267,7.74269560015634,7.54292383104271,7.22424547932941,7.62042681676087,7.49505404688647,7.43096626173516,7.64551148881041,7.59311478528209,7.53538432868369
"100103_f_at",8.45285493258362,8.23703297811714,8.05132795225123,8.29958324791186,8.35935694455481,8.07983311849991,8.34454667611868,8.3435661219387,8.15241929094565,8.38680049279681,8.28995895536651,8.21076858063541
"100104_r_at",3.5411359797659,3.4352273448333,3.24209243784264,3.29864937324074,3.29008805234566,3.16811069327992,3.50776301068531,3.39716004472677,3.45576073110382,3.43502040664828,3.33870573189386,3.31161750924536
"100106_at",7.89457986319777,7.66405659382847,7.57616327403059,7.52814805586412,7.55597306900746,7.60570198302797,7.68027908440381,7.64508710384519,7.55678273191138,7.72031940199951,7.6532492438527,7.61835676545813
"100109_s_at",5.11052082284488,5.25869979849065,5.06501378257506,4.98668077719584,5.17283875412977,5.05274391969131,5.18132064244099,5.11488456278146,4.9363884674802,5.16610376542626,5.3594546132199,5.18984488064915
"100112_at",7.6645824315159,7.79974678751611,7.48145589542112,7.36764952913838,7.39446094308391,6.9109253654841,7.63945500714901,7.65169818192949,7.39068689241781,7.87656880491514,8.13137463217546,7.75654969330054
"100113_s_at",7.4970650969732,7.37519505001758,7.79387172042685,7.51504815653987,7.58695044837084,8.07955976736492,7.45901962135197,7.53131509993288,7.83007997707763,7.47505776797391,7.30485773150594,7.59473119677637
"100115_at",7.15481262793955,7.2168838418929,7.35672930410107,7.59460140824681,7.38082024409046,7.61498665565618,7.27063023956847,7.42173848524236,7.36753000360246,7.1936109751216,7.15537184135829,7.32254908652416
"100116_at",5.39581003131245,5.37978265285686,5.10209060607442,5.15150576022161,5.15391746750925,5.04145569928774,5.2667405780235,5.20095077554288,5.10460952735325,5.30276917158077,5.37184550611485,5.17976245084671
"100117_at",4.09926939411118,3.95642734836869,3.76163009099606,3.99834212076328,4.12796621980789,3.7706757840387,4.08425107410099,3.919742495105,3.80131757281064,3.92248552183363,3.91228241494626,3.86767712687
"100120_at",4.17060434624451,4.22581631571588,4.34735490257695,4.00624130581483,4.02945733755504,4.40877969226026,3.82981203124466,4.03300073471456,4.4135680267301,4.40829221299509,4.17023624725899,4.46537521796638
"100122_at",6.1818505639882,6.21802465625465,6.45845899882621,5.93610754125624,5.8535367250844,6.18135419921133,6.14806508617478,6.00717491176011,6.01445035123211,6.24902788823371,6.11748064847142,6.34456232908385
"100123_f_at",10.6833997042494,11.0277638710476,11.3439806149653,11.1127145321203,11.224608567614,11.5639157505138,10.8212165766089,11.0405429538065,11.2696434729837,10.8270645891696,10.779423202434,11.2001645008265
"100124_r_at",8.51308599677742,8.67184121438399,8.8474938636641,8.8298557734308,8.90076829086371,9.34180930163342,8.6798393088328,8.77300608777657,9.00616063832903,8.49414044989109,8.4698036678721,8.88282270638711
"100125_at",5.99664917992584,6.13830571131572,6.13562630441217,6.34720607906309,6.24928394794494,6.45449034288252,6.26120712385006,6.33747521551031,6.18612904356157,5.99851499642413,6.07571401061185,6.05666387600007
"100126_at",9.01982590907858,9.12873934322678,9.59229691312633,9.01806245231768,9.11512908593457,9.83359443349066,8.88602367601283,9.08306317365421,9.45029377880243,8.89264487230624,8.99291516772066,9.30004384012937
"100127_at",3.50598129804295,3.78284080779574,3.81376441786837,3.67380775545591,3.76725049169124,3.83805055760507,3.66317158138669,3.70987798471394,3.62311443208133,3.70569250623124,3.86356170983881,3.61928725528748
"100128_at",6.94137272582916,6.83079175576234,6.69379782505706,6.82620563194931,6.84974787027003,6.67276666385596,6.76721525841953,6.81335645983126,6.77278203952216,6.90581964123405,6.8956904502322,6.77158370992766
"100130_at",7.72455538611592,7.66319210608239,7.65849727733812,7.834962549855,7.8061854604179,7.9115268996468,7.72392981470038,7.75574772769634,7.95847081401273,7.78119450438901,7.57135632050124,7.58029643818903
"100131_at",4.5742868337136,4.16133592046778,4.12847785282035,4.0852843853484,4.15678599915029,4.04172403615716,4.30205984598139,4.12321671865334,4.28816758124488,4.32811133867353,4.25988632855751,4.13432112869424
